Sale Date,Cust ID,Itinerary ID,Itinerary #,EMP NO,Agent,Booking_id,Booking #,Product Category,Product Supplier ID,Supplier Office Location,Trip Start,Trip End,Class,# travellers,Product ID,Product,product_Description,Destination,Dest ID,Credit Card,Expiry Date,Card Number,Billing Date,Bill Description,Base Price (excl. taxes),"Total Price (incl. taxes, excl. fees)",Billed Amt. (incl. fees),Agency Fee Code,Agency Fee Amount,Agency Commission
12/3/2008,299,896,672,,,896,A469687,550,1,1,22/03/2008,16/04/2008, ,2,896,Travel Insurance,cancellation/medical policy # 90817,China,ASIA,MC,28/04/2011,2.40E+15,12/3/2008,FULL PAYMENT,450,495,495,NC,0,9
27/05/2008,208,1170,1047,,BP,1170,JKU535,550,1,1,25/06/2008,30/06/2008, ,,1170,Travel Insurance,cancellation/medical policy # 97009, ,ASIA,MC,29/09/2011,8.92E+15,27/05/2008,FULL PAYMENT,300,321,321,NC,0,6
31/05/2008,319,1180,993,,JC,1180,SDGFV61,550,1,1,8/7/2008,16/07/2008, ,,1180,Travel Insurance,cancellation/medical policy # 90356, ,SA,Diners,15/09/2011,6.79E+13,31/05/2008,FULL PAYMENT,350,374.5,374.5,NC,0,7
23/04/2008,159,1076,1043,,JM,1076,74868V,300,2,1,7/6/2008,20/06/2008, ,3,1076,Cruise,Disney Cruise line,USA,NA,Diners,9/10/2011,2.24E+13,23/04/2008,DEPOSIT,2070,2318.4,629.6,BK,50,62.1
23/04/2008,159,1077,1043,,JM,1077,74868V,300,2,1,7/6/2008,20/06/2008, ,3,1077,Cruise,Disney Cruise line,USA,NA,Diners,9/10/2011,2.24E+13,12/5/2008,FINAL PAYMENT,2070,2318.4,1738.8,BK,0,62.1
24/04/2008,159,1090,999,,DR,1090,74868V,300,2,1,7/6/2008,20/06/2008, ,5,1090,Cruise,Disney Cruise line,USA,NA,Diners,9/10/2011,2.24E+13,24/04/2008,DEPOSIT,2070,2318.4,629.6,BK,50,62.1
24/04/2008,159,1091,999,,BS,1091,74868V,300,2,1,7/6/2008,20/06/2008, ,5,1091,Cruise,Disney Cruise line,USA,NA,Diners,9/10/2011,2.24E+13,8/5/2008,FINAL PAYMENT,2070,2318.4,1738.8,BK,0,62.1
4/5/2008,147,1143,761,,JM,1143,3768A4,500,3,1,20/05/2008,20/06/2008, ,2,1143,Tours,"Minneapolis, Chicago, Detroit, Bost",USA,NA,MC,3/11/2010,7.67E+15,11/5/2008,DEPOSIT,3500,3675,417.5,BK,50,131.25
4/5/2008,147,1144,761,,JM,1144,3768A4,500,3,1,20/05/2008,20/06/2008, ,2,1144,Tours,"Minneapolis, Chicago, Detroit, Bost",USA,NA,MC,3/11/2010,7.67E+15,15/05/2008,FINAL PAYMENT,3500,3675,2445,BK,0,131.25
4/5/2008,147,1145,1064,,JC,1145,3768A4,500,3,1,20/05/2008,20/06/2008, ,2,1145,Tours,"Minneapolis, Chicago, Detroit, Bost",USA,NA,MC,3/11/2010,7.67E+15,4/5/2008,DEPOSIT,3500,3675,785,BK,50,131.25
4/5/2008,147,1146,1064,,JC,1146,3768A4,500,3,1,20/05/2008,20/06/2008, ,2,1146,Tours,"Minneapolis, Chicago, Detroit, Bost",USA,NA,MC,3/11/2010,7.67E+15,11/5/2008,FINAL PAYMENT,3500,3675,2940,BK,0,131.25
4/1/2009,300,6,224,,DR,6,FJKD342,150,7,1,16/05/2009,30/05/2009,ECN,2,6,Air,Calgary/Cape Town/Calgary,"Cape Town, South Africa",AFR,MC,12/3/2012,2.34E+15,1/4/2009,FULL PAYMENT,1500,1845,1895,BK,50,75
27/02/2010,198,86,329,,JD,86,SCR41,150,8,1,25/03/2010,8/4/2010,ECN,2,86,Air,Calgary/Victoria/Calgary,Victoria,NA,AMEX,5/5/2012,8.95E+14,1/3/2010,FULL PAYMENT,205,252.15,302.15,BK,50,10.25
2/3/2010,173,87,324,,JC,87,SCR40,150,8,1,25/03/2010,9/4/2010,ECN,2,87,Air,Calgary/Victoria/Calgary,Victoria,NA,AMEX,1/3/2010,8.67E+15,2/3/2010,FULL PAYMENT,205,252.15,302.15,BK,50,10.25
2/3/2010,216,88,184,,DR,88,MKI332,150,8,1,26/03/2010,9/4/2010,ECN,2,88,Air,Calgary/Victoria/Calgary,Victoria,NA,AMEX,2/3/2011,3.22E+14,9/2/2010,FULL PAYMENT,205,252.15,302.15,BK,50,10.25
27/04/2010,114,122,300,,JL,122,SJKDK89,150,8,1,23/05/2010,7/6/2010,ECN,2,122,Air,Calgary/Victoria/Calgary,Victoria,NA,VISA,3/11/2010,2.31E+15,1/5/2010,FULL PAYMENT,175,215.25,265.25,BK,50,8.75
28/04/2010,114,123,763,,,123,SJKDK89,150,8,1,23/05/2010,7/6/2010,ECN,2,123,Air,Calgary/Victoria/Calgary,Victoria,NA,VISA,3/11/2010,2.31E+15,2/5/2010,FULL PAYMENT,175,215.25,265.25,BK,50,8.75
29/04/2010,114,124,1062,,,124,SJKDK89,150,8,1,23/05/2010,7/6/2010,ECN,2,124,Air,Calgary/Victoria/Calgary,Victoria,NA,VISA,3/11/2010,2.31E+15,3/5/2010,FULL PAYMENT,175,215.25,265.25,BK,50,8.75
29/04/2010,147,125,199,,DR,125,MKI343,150,8,1,22/05/2010,9/6/2010,ECN,2,125,Air,Calgary/Victoria/Calgary,Victoria,NA,MC,3/11/2010,7.67E+15,1/5/2010,FULL PAYMENT,203,249.69,299.69,BK,50,10.15
2/5/2010,223,129,607,,JL,129,MKI341,150,8,1,21/05/2010,5/6/2010,ECN,2,129,Air,Calgary/Victoria/Calgary,Victoria,NA,MC,1/7/2010,8.76E+13,5/5/2010,FULL PAYMENT,195,239.85,289.85,BK,50,9.75
8/8/2009,130,57,893,,,57,FJKD344,150,11,1,24/09/2009,15/10/2009,ECN,2,57,Air,Calgary/London/Calgary,"London, England",EU,AMEX,5/11/2010,3.45E+14,10/8/2009,FULL PAYMENT,750,922.5,972.5,BK,50,75
3/1/2010,260,66,870,,,66,MKI335,150,11,1,15/04/2010,12/5/2010,ECN,2,66,Air,Calgary/London/Calgary,"London, England",EU,MC,5/7/2011,2.36E+15,1/3/2010,FULL PAYMENT,900,1107,1157,BK,50,90
4/1/2010,322,67,198,,DR,67,MKI342,150,11,1,16/05/2010,1/6/2010,ECN,2,67,Air,Calgary/Paris/Calgary,"Paris, France",EU,MC,11/5/2010,3.35E+15,1/4/2010,FULL PAYMENT,900,1107,1157,BK,50,90
1/4/2010,248,102,210,,DR,102,IK87,150,11,1,25/04/2010,11/5/2010,FST,2,102,Air,Calgary/Paris/Calgary,"Paris, France",EU,VISA,2/2/2012,7.81E+15,1/4/2010,FULL PAYMENT,850,1045.5,1095.5,BK,50,85
12/3/2008,371,897,668,,JW,897,6576576DC,350,15,1,25/05/2008,8/6/2008,SNG,2,897,Hotel,14 nights hotel,"Vancouver, Canada",NA,Diners,15/08/2011,2.11E+13,30/03/2008, ,1200,1272,50,BK,50,39
24/03/2008,241,937,820,,JM,937,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,937,Cruise,East coast + air, ,AFR,VISA,25/11/2012,8.99E+13,24/03/2008,DEPOSIT,8365,8962,2240.5,NC,0,250.95
24/03/2008,241,938,820,,BD,938,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,938,Cruise,East coast + air, ,AFR,VISA,25/11/2012,8.99E+13,14/04/2008,FINAL PAYMENT,8365,8962,6721.5,NC,0,250.95
28/03/2008,241,952,887,,BS,952,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,952,Cruise,East coast + air, ,AFR,VISA,25/11/2012,8.99E+13,28/03/2008,DEPOSIT,8365,8962,2240.5,NC,0,250.95
28/03/2008,241,953,887,,BD,953,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,953,Cruise,East coast + air, ,AFR,VISA,25/11/2012,8.99E+13,20/04/2008,FINAL PAYMENT,8365,8962,6721.5,NC,0,250.95
30/03/2008,241,962,1023,,DR,962,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,962,Cruise,East coast + air, ,AFR,VISA,25/11/2012,8.99E+13,30/03/2008,DEPOSIT,8365,8962,896.2,NC,0,250.95
30/03/2008,241,963,1023,,BS,963,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,963,Cruise,East coast + air, ,AFR,VISA,25/11/2012,8.99E+13,20/04/2008,FINAL PAYMENT,8365,8962,8065.8,NC,0,250.95
1/4/2008,241,976,1086,,BD,976,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,976,Cruise,East coast + air, ,AFR,VISA,25/11/2011,8.99E+13,6/4/2008,DEPOSIT,8365,8962,2240.5,NC,0,250.95
1/4/2008,241,977,1086,,BD,977,6541117T,303,22,1,6/5/2008,23/05/2008,INT,2,977,Cruise,East coast + air, ,AFR,VISA,25/11/2011,8.99E+13,1/5/2008,FINAL PAYMENT,8365,8962,6721.5,NC,0,250.95
